,carat,cut,color,clarity,depth,table,price,x,y,z,predicted_price
1,0.23,5,6,2,61.5,55.0,326,3.95,3.98,2.43,374.56848
2,0.21,4,6,3,59.8,61.0,326,3.89,3.84,2.31,388.96176
3,0.23,2,6,5,56.9,65.0,327,4.05,4.07,2.31,372.34265
4,0.29,4,2,4,62.4,58.0,334,4.2,4.23,2.63,391.49072
5,0.31,2,1,2,63.3,58.0,335,4.34,4.35,2.75,350.8471
6,0.24,3,1,6,62.8,57.0,336,3.94,3.96,2.48,275.5586
7,0.24,3,2,7,62.3,57.0,336,3.95,3.98,2.47,344.8881
8,0.26,3,3,3,61.9,55.0,337,4.07,4.11,2.53,372.7172
9,0.22,1,6,4,65.1,61.0,337,3.87,3.78,2.49,383.52017
10,0.23,3,3,5,59.4,61.0,338,4.0,4.05,2.39,336.05707
11,0.3,2,1,3,64.0,55.0,339,4.25,4.28,2.73,332.71246
12,0.23,5,1,5,62.8,56.0,340,3.93,3.9,2.46,315.58673
13,0.22,4,5,3,60.4,61.0,342,3.88,3.84,2.33,370.1076
14,0.31,5,1,2,62.2,54.0,344,4.35,4.37,2.71,219.36203
15,0.2,4,6,2,60.2,62.0,345,3.79,3.75,2.27,355.94617
16,0.32,4,6,1,60.9,58.0,345,4.38,4.42,2.68,330.7203
17,0.3,5,2,2,62.0,54.0,348,4.31,4.34,2.68,307.11383
18,0.3,2,1,3,63.4,54.0,351,4.23,4.29,2.7,334.71136
19,0.3,2,1,3,63.8,56.0,351,4.23,4.26,2.71,355.8066
20,0.3,3,1,3,62.7,59.0,351,4.21,4.27,2.66,343.93066
21,0.3,2,2,2,63.3,56.0,351,4.26,4.3,2.71,367.78775
22,0.23,3,6,4,63.8,55.0,352,3.85,3.92,2.48,457.3453
23,0.23,3,3,5,61.0,57.0,353,3.94,3.96,2.41,349.0878
24,0.31,3,1,3,59.4,62.0,353,4.39,4.43,2.62,290.26865
25,0.31,3,1,3,58.1,62.0,353,4.44,4.47,2.59,223.0247
26,0.23,3,4,6,60.4,58.0,354,3.97,4.01,2.41,443.9704
27,0.24,4,2,5,62.5,57.0,355,3.97,3.94,2.47,363.0749
28,0.3,3,1,4,62.2,57.0,357,4.28,4.3,2.67,324.95874
29,0.23,3,7,4,60.5,61.0,357,3.96,3.97,2.4,404.20944
30,0.23,3,5,5,60.9,57.0,357,3.96,3.99,2.42,413.52707
31,0.23,3,5,5,60.0,57.0,402,4.0,4.03,2.41,408.71896
32,0.23,3,5,5,59.8,57.0,402,4.04,4.06,2.42,403.09814
33,0.23,3,6,5,60.7,59.0,402,3.97,4.01,2.42,432.61426
34,0.23,3,6,5,59.5,58.0,402,4.01,4.06,2.4,432.36325
35,0.23,3,7,5,61.9,58.0,402,3.92,3.96,2.44,453.51382
36,0.23,2,5,5,58.2,59.0,402,4.06,4.08,2.37,342.68304
37,0.23,2,6,5,64.1,59.0,402,3.83,3.85,2.46,429.61264
38,0.31,2,3,3,64.0,54.0,402,4.29,4.31,2.75,424.6764
39,0.26,3,7,4,60.8,59.0,403,4.13,4.16,2.52,487.9246
40,0.33,5,2,2,61.8,55.0,403,4.49,4.51,2.78,443.6285
41,0.33,5,2,2,61.2,56.0,403,4.49,4.5,2.75,430.7499
42,0.33,5,1,3,61.1,56.0,403,4.49,4.55,2.76,356.36142
43,0.26,2,7,4,65.2,56.0,403,3.99,4.02,2.61,446.10745
44,0.26,2,7,5,58.4,63.0,403,4.19,4.24,2.46,436.3435
45,0.32,2,3,2,63.1,56.0,403,4.34,4.37,2.75,398.0909
46,0.29,4,5,3,62.4,58.0,403,4.24,4.26,2.65,513.4135
47,0.32,3,3,2,61.8,55.0,403,4.35,4.42,2.71,362.6684
48,0.32,2,3,2,63.8,56.0,403,4.36,4.38,2.79,402.74948
49,0.25,3,6,4,63.3,60.0,404,4.0,4.03,2.54,469.1703
50,0.29,3,3,2,60.7,60.0,404,4.33,4.37,2.64,358.4306
51,0.24,3,5,3,60.9,61.0,404,4.02,4.03,2.45,386.89575
52,0.23,5,4,5,61.9,54.0,404,3.93,3.95,2.44,457.5882
53,0.32,5,2,3,60.9,55.0,404,4.45,4.48,2.72,406.7885
54,0.22,4,6,4,61.6,58.0,404,3.93,3.89,2.41,467.7311
55,0.22,4,7,4,59.3,62.0,404,3.91,3.88,2.31,452.0467
56,0.3,5,2,2,61.0,59.0,405,4.3,4.33,2.63,345.62772
57,0.3,4,1,2,59.3,61.0,405,4.43,4.38,2.61,338.55466
58,0.3,3,2,3,62.6,57.0,405,4.25,4.28,2.67,378.9215
59,0.3,3,2,3,63.0,57.0,405,4.28,4.32,2.71,382.52298
60,0.3,2,2,3,63.2,55.0,405,4.25,4.29,2.7,417.93594
61,0.35,5,2,5,60.9,57.0,552,4.54,4.59,2.78,564.14594
62,0.3,4,7,3,62.6,59.0,552,4.23,4.27,2.66,634.91235
63,0.3,5,7,3,62.5,57.0,552,4.29,4.32,2.69,598.21265
64,0.3,5,7,3,62.1,56.0,552,4.3,4.33,2.68,584.3287
65,0.42,4,2,2,61.5,59.0,552,4.78,4.84,2.96,654.11163
66,0.28,5,4,6,61.4,56.0,553,4.19,4.22,2.58,618.36383
67,0.32,5,2,7,62.0,55.3,553,4.39,4.42,2.73,636.93005
68,0.31,3,4,3,63.3,57.0,553,4.33,4.3,2.73,578.79193
69,0.31,4,4,3,61.8,58.0,553,4.35,4.32,2.68,615.81903
70,0.24,4,6,7,60.7,58.0,553,4.01,4.03,2.44,648.37476
71,0.24,3,7,7,61.5,60.0,553,3.97,4.0,2.45,543.718
72,0.3,3,3,3,63.1,56.0,554,4.29,4.27,2.7,570.6471
73,0.3,4,3,3,62.9,59.0,554,4.28,4.24,2.68,564.4607
74,0.3,4,3,3,62.5,57.0,554,4.29,4.25,2.67,521.8455
75,0.3,2,3,3,63.7,57.0,554,4.28,4.26,2.72,539.4533
76,0.26,3,5,6,59.2,60.0,554,4.19,4.22,2.49,532.1855
77,0.26,3,6,6,59.9,58.0,554,4.15,4.23,2.51,555.92773
78,0.26,3,7,6,62.4,54.0,554,4.08,4.13,2.56,572.09216
79,0.26,3,7,6,62.8,60.0,554,4.01,4.05,2.53,571.48315
80,0.26,3,6,7,62.6,59.0,554,4.06,4.09,2.55,594.63745
81,0.26,3,6,7,63.4,59.0,554,4.0,4.04,2.55,606.2097
82,0.26,3,7,7,62.1,60.0,554,4.03,4.12,2.53,594.10455
83,0.26,5,6,6,62.9,58.0,554,4.02,4.06,2.54,658.5521
84,0.38,5,2,2,61.6,56.0,554,4.65,4.67,2.87,579.09296
85,0.26,2,6,7,57.9,60.0,554,4.22,4.25,2.45,565.6624
86,0.24,4,4,7,62.3,59.0,554,3.95,3.92,2.45,561.2606
87,0.24,4,3,7,61.2,58.0,554,4.01,3.96,2.44,514.31274
88,0.24,4,3,7,60.8,59.0,554,4.02,4.0,2.44,502.86557
89,0.24,4,3,6,60.7,58.0,554,4.07,4.04,2.46,474.5783
90,0.32,4,2,3,62.9,58.0,554,4.35,4.33,2.73,525.96497
91,0.7,5,6,3,62.5,57.0,2757,5.7,5.72,3.57,2600.42
92,0.86,1,6,2,55.1,69.0,2757,6.45,6.33,3.52,2796.6453
93,0.7,5,4,4,61.6,56.0,2757,5.7,5.67,3.5,2803.6099
94,0.71,3,6,4,62.4,57.0,2759,5.68,5.73,3.56,2953.0845
95,0.78,3,4,2,63.8,56.0,2759,5.81,5.85,3.72,2394.476
96,0.7,2,6,4,57.5,58.0,2759,5.85,5.9,3.38,2650.8738
97,0.7,2,5,5,59.4,62.0,2759,5.71,5.76,3.4,2965.1763
98,0.96,1,5,2,66.3,62.0,2759,6.27,5.95,4.07,2992.5679
99,0.73,3,6,3,61.6,59.0,2760,5.77,5.78,3.56,2761.1921
100,0.8,4,3,3,61.5,58.0,2760,5.97,5.93,3.66,2615.2153
101,0.75,3,7,3,63.2,56.0,2760,5.8,5.75,3.65,2899.0317
102,0.75,4,6,3,59.9,54.0,2760,6.0,5.96,3.58,2852.3958
103,0.74,5,4,3,61.6,55.0,2760,5.8,5.85,3.59,2799.9336
104,0.75,4,4,4,61.7,58.0,2760,5.85,5.79,3.59,2796.3174
105,0.8,5,2,5,62.9,56.0,2760,5.94,5.87,3.72,2868.5896
106,0.75,5,4,3,62.2,55.0,2760,5.87,5.8,3.63,2579.1843
107,0.8,4,4,3,63.0,59.0,2760,5.9,5.81,3.69,2704.032
108,0.74,5,2,6,62.3,55.0,2761,5.77,5.81,3.61,2763.2505
109,0.81,5,5,2,58.8,57.0,2761,6.14,6.11,3.6,2742.3767
110,0.59,5,6,6,62.0,55.0,2761,5.38,5.43,3.35,2528.4888
111,0.8,5,5,2,61.4,57.0,2761,5.96,6.0,3.67,2890.2268
112,0.74,5,6,2,62.2,56.0,2761,5.8,5.84,3.62,2628.2288
113,0.9,4,2,4,63.0,58.0,2761,6.16,6.12,3.87,3387.8804
114,0.74,3,4,3,62.2,59.0,2762,5.73,5.82,3.59,2395.8057
115,0.73,5,5,4,62.6,56.0,2762,5.77,5.74,3.6,3056.9307
116,0.73,5,5,4,62.7,53.0,2762,5.8,5.75,3.62,3061.6604
117,0.8,4,5,2,61.7,58.0,2762,5.98,5.94,3.68,2617.389
118,0.71,5,4,4,62.4,54.0,2762,5.72,5.76,3.58,2863.0913
119,0.7,5,6,4,60.7,58.0,2762,5.73,5.76,3.49,3103.7168
120,0.8,5,5,2,59.9,59.0,2762,6.01,6.07,3.62,2808.5474
121,0.71,5,7,2,62.3,56.0,2762,5.73,5.69,3.56,2418.2861
122,0.74,5,6,3,62.3,54.0,2762,5.8,5.83,3.62,2900.5813
123,0.7,3,5,4,61.7,63.0,2762,5.64,5.61,3.47,2538.3157
124,0.7,1,5,4,64.5,57.0,2762,5.57,5.53,3.58,2309.4033
125,0.7,1,5,4,65.3,55.0,2762,5.63,5.58,3.66,2517.8396
126,0.7,4,5,4,61.6,60.0,2762,5.65,5.59,3.46,2521.3652
127,0.91,4,3,3,61.4,56.0,2763,6.09,5.97,3.7,3356.035
128,0.61,3,7,6,59.6,57.0,2763,5.56,5.58,3.32,3099.1294
129,0.91,1,3,2,64.4,57.0,2763,6.11,6.09,3.93,2807.1382
130,0.91,1,3,2,65.7,60.0,2763,6.03,5.99,3.95,2717.0583
131,0.77,5,3,4,62.0,56.0,2763,5.89,5.86,3.64,2981.604
132,0.71,3,7,3,63.6,58.0,2764,5.64,5.68,3.6,2754.0986
133,0.71,5,7,3,61.9,59.0,2764,5.69,5.72,3.53,2818.2292
134,0.7,3,6,4,62.6,60.0,2765,5.62,5.65,3.53,2744.115
135,0.77,3,3,5,61.3,60.0,2765,5.88,5.9,3.61,2940.8638
136,0.63,4,6,7,60.9,60.0,2765,5.52,5.55,3.37,3373.8481
137,0.71,3,5,5,60.1,62.0,2765,5.74,5.77,3.46,3069.8506
138,0.71,4,5,5,61.8,59.0,2765,5.69,5.73,3.53,3085.2996
139,0.76,5,3,3,61.2,57.0,2765,5.88,5.91,3.61,2595.7957
140,0.64,5,4,7,61.9,56.0,2766,5.53,5.56,3.43,2909.82
141,0.71,4,4,4,60.9,57.0,2766,5.78,5.75,3.51,2684.5876
142,0.71,4,4,4,59.8,56.0,2766,5.89,5.81,3.5,2660.8584
143,0.7,3,7,4,61.8,55.0,2767,5.68,5.72,3.52,3150.6045
144,0.7,3,5,5,60.0,57.0,2767,5.8,5.87,3.5,3100.5168
145,0.71,5,7,2,61.6,55.0,2767,5.74,5.76,3.54,2625.2937
146,0.7,2,3,6,62.1,64.0,2767,5.62,5.65,3.5,2523.6633
147,0.71,3,4,5,63.3,59.0,2768,5.52,5.61,3.52,2668.7417
148,0.73,3,7,3,60.2,56.0,2768,5.83,5.87,3.52,2995.8264
149,0.7,3,7,3,61.1,58.0,2768,5.66,5.73,3.48,2693.9106
150,0.7,5,6,3,60.9,57.0,2768,5.73,5.76,3.5,2794.2434
151,0.71,4,7,2,61.7,59.0,2768,5.71,5.67,3.51,2322.7893
152,0.74,5,2,3,61.3,56.0,2769,5.82,5.86,3.57,2563.899
153,0.71,4,7,4,62.5,60.0,2770,5.65,5.61,3.52,2914.8508
154,0.73,4,4,4,61.4,59.0,2770,5.83,5.76,3.56,2774.9382
155,0.76,3,5,3,62.9,57.0,2770,5.79,5.81,3.65,2636.38
156,0.76,5,7,2,62.4,57.0,2770,5.78,5.83,3.62,2669.0369
157,0.71,5,5,3,60.7,56.0,2770,5.77,5.8,3.51,2850.0505
158,0.73,4,4,4,60.7,58.0,2770,5.87,5.82,3.55,2776.8665
159,0.73,4,4,5,61.5,58.0,2770,5.79,5.75,3.55,2857.3647
160,0.73,5,7,2,59.9,57.0,2770,5.92,5.89,3.54,2680.4165
161,0.73,4,4,4,59.2,59.0,2770,5.92,5.87,3.49,2648.9731
162,0.72,3,3,6,60.3,56.0,2771,5.81,5.83,3.51,2747.0742
163,0.73,3,5,3,61.7,60.0,2771,5.79,5.82,3.58,2645.3748
164,0.71,5,4,4,61.9,57.0,2771,5.73,5.77,3.56,2942.4648
165,0.79,5,5,2,61.9,55.0,2771,5.97,5.92,3.68,2832.985
166,0.73,3,3,7,60.4,59.0,2772,5.83,5.89,3.54,3109.998
167,0.8,3,5,2,61.0,57.0,2772,6.01,6.03,3.67,2655.3545
168,0.58,5,4,7,61.5,55.0,2772,5.39,5.44,3.33,2315.9165
169,0.58,5,5,7,61.7,56.0,2772,5.33,5.37,3.3,2650.686
170,0.71,2,6,4,59.2,61.0,2772,5.8,5.88,3.46,2781.2205
171,0.75,5,7,2,61.3,56.0,2773,5.85,5.89,3.6,2871.4675
172,0.7,4,7,4,58.0,62.0,2773,5.87,5.78,3.38,2862.669
173,1.17,3,1,1,60.2,61.0,2774,6.83,6.9,4.13,3022.4763
174,0.6,5,6,5,61.7,55.0,2774,5.41,5.44,3.35,2216.0374
175,0.7,5,6,3,62.7,55.0,2774,5.68,5.74,3.58,2730.3198
176,0.83,2,2,4,64.6,54.0,2774,5.85,5.88,3.79,2671.1672
177,0.74,3,5,4,61.3,61.0,2775,5.8,5.84,3.57,3002.084
178,0.72,3,4,4,63.7,56.4,2776,5.62,5.69,3.61,2659.5286
179,0.71,4,6,4,62.7,58.0,2776,5.74,5.68,3.58,2967.9558
180,0.71,5,6,4,62.2,57.0,2776,5.79,5.62,3.55,2846.268
181,0.54,5,6,6,61.6,56.0,2776,5.25,5.27,3.24,2390.9556
182,0.54,5,6,6,61.5,57.0,2776,5.24,5.26,3.23,2370.3638
183,0.72,5,4,3,61.8,56.0,2776,5.72,5.75,3.55,2610.478
184,0.72,5,4,3,60.7,56.0,2776,5.79,5.82,3.53,2596.3843
185,0.72,2,4,4,59.7,60.5,2776,5.8,5.84,3.47,2560.1726
186,0.71,5,4,3,60.5,56.0,2776,5.8,5.76,3.5,2531.7634
187,0.7,3,7,5,62.7,58.0,2777,5.66,5.73,3.57,3478.9634
188,0.71,4,5,4,62.1,58.0,2777,5.67,5.7,3.53,2769.7341
189,0.71,3,5,4,62.8,57.0,2777,5.64,5.69,3.56,2785.0103
190,0.71,2,5,4,63.8,58.0,2777,5.61,5.64,3.59,2593.1511
191,0.71,2,5,4,57.8,60.0,2777,5.87,5.9,3.4,2662.5095
192,0.7,5,6,4,62.1,55.0,2777,5.7,5.67,3.53,2991.7617
193,0.7,4,6,4,61.1,60.0,2777,5.71,5.64,3.47,2681.2478
194,0.7,4,6,3,60.0,59.0,2777,5.79,5.75,3.46,2520.695
195,0.7,4,6,3,61.2,57.0,2777,5.73,5.68,3.49,2476.83
196,0.7,4,6,3,62.7,59.0,2777,5.67,5.63,3.54,2408.6357
197,0.7,4,6,3,61.0,57.0,2777,5.73,5.68,3.48,2473.7742
198,0.7,4,6,3,61.0,58.0,2777,5.78,5.72,3.51,2545.6047
199,0.7,5,6,3,61.4,57.0,2777,5.76,5.7,3.52,2645.563
200,0.72,4,5,3,61.8,61.0,2777,5.82,5.71,3.56,2460.417
201,0.7,3,6,3,59.9,63.0,2777,5.76,5.7,3.43,2501.6682
202,0.7,4,6,3,61.3,58.0,2777,5.71,5.68,3.49,2489.6892
203,0.7,4,6,3,60.5,58.0,2777,5.77,5.74,3.48,2482.4465
204,0.7,2,6,4,64.1,59.0,2777,5.64,5.59,3.6,2658.903
205,0.98,1,3,2,67.9,60.0,2777,6.05,5.97,4.08,2866.1582
206,0.78,4,5,3,62.4,58.0,2777,5.83,5.8,3.63,2658.0469
207,0.7,3,6,3,63.2,60.0,2777,5.6,5.51,3.51,2200.8538
208,0.52,5,5,7,61.3,55.0,2778,5.19,5.22,3.19,2482.2263
209,0.73,3,3,4,60.8,56.0,2779,5.82,5.84,3.55,2734.1672
210,0.74,5,6,3,61.7,56.0,2779,5.84,5.8,3.59,3032.93
211,0.7,3,5,4,63.6,57.0,2780,5.61,5.65,3.58,2548.3262
212,0.77,4,4,4,61.2,58.0,2780,5.9,5.93,3.62,2937.5137
213,0.71,5,5,4,62.1,54.0,2780,5.68,5.72,3.54,2897.4255
214,0.74,5,4,5,61.5,55.0,2780,5.81,5.86,3.59,3253.6963
215,0.7,5,4,5,61.4,59.0,2780,5.64,5.73,3.49,3006.2217
216,1.01,4,5,1,61.8,60.0,2781,6.39,6.36,3.94,3076.5347
217,0.77,5,3,3,62.2,56.0,2781,5.83,5.88,3.64,2618.2393
218,0.78,5,3,3,61.2,56.0,2781,5.92,5.99,3.64,2807.7698
219,0.72,3,3,5,60.6,63.0,2782,5.83,5.76,3.51,2711.454
220,0.53,3,7,6,57.5,64.0,2782,5.34,5.37,3.08,2583.407
221,0.76,5,4,4,61.3,56.0,2782,5.9,5.94,3.63,3278.4175
222,0.7,2,6,5,57.2,62.0,2782,5.81,5.77,3.31,2704.4055
223,0.7,4,6,5,62.9,60.0,2782,5.62,5.54,3.51,2881.9028
224,0.75,3,7,2,63.1,58.0,2782,5.78,5.73,3.63,2488.0605
225,0.72,5,7,3,60.8,57.0,2782,5.76,5.75,3.5,2955.003
226,0.72,4,7,3,62.7,59.0,2782,5.73,5.69,3.58,2764.0413
227,0.7,4,7,3,62.8,60.0,2782,5.68,5.66,3.56,2589.8872
228,0.84,1,4,3,55.1,67.0,2782,6.39,6.2,3.47,2645.8914
229,0.75,4,5,3,61.4,59.0,2782,5.88,5.85,3.6,2743.3496
230,0.52,5,5,8,62.2,55.0,2783,5.14,5.18,3.21,2608.5537
231,0.72,3,5,4,63.0,54.0,2784,5.69,5.73,3.6,2778.6758
232,0.79,3,3,5,63.7,56.0,2784,5.85,5.92,3.75,2983.52
233,0.72,3,5,4,63.6,58.0,2787,5.66,5.69,3.61,2798.962
234,0.51,5,5,7,62.0,57.0,2787,5.11,5.15,3.18,2427.455
